card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active,client_name,sex,city,city_code,city_zone
high,0,37,4.52,0.03,124.98,yes,no,3,54.0,1,12,Ivan Gomez,Male,Other,0,11020
high,0,33,2.42,0.01,9.85,no,no,3,34.0,1,13,Sean Williams,Not Declared,Other,0,11020
high,0,33,4.5,0.0,15.0,yes,no,4,58.0,1,5,William Beard,Male,Other,0,11020
high,0,30,2.54,0.07,137.87,no,no,0,25.0,1,7,Cynthia Cuevas,Female,Other,0,11020
high,0,32,9.79,0.07,546.5,yes,no,2,64.0,1,5,Julie Davis,Female,Sacramento,1,11021
high,0,23,2.5,0.04,92.0,no,no,0,54.0,1,1,Matthew Johnson,Male,Other,0,11020
high,0,27,3.96,0.01,40.83,no,no,2,7.0,1,5,David Rodriguez,Male,Other,0,11020
high,0,29,2.37,0.08,150.79,yes,no,0,77.0,1,3,Bryan Rodriguez,Male,San Francisco,3,11023
high,0,37,3.8,0.25,777.82,yes,no,0,97.0,1,6,Gregory Graves,Male,Sacramento,1,11021
high,0,28,3.2,0.02,52.58,no,no,0,65.0,1,18,Sarah Rivera,Female,Other,0,11020
high,0,30,3.95,0.08,256.66,yes,no,1,24.0,1,20,Steven Reese,Male,San Diego,2,11022
low,0,42,1.98,0.0,0.0,yes,no,2,36.0,1,0,John Mason,Male,Other,0,11020
low,0,30,1.73,0.0,0.0,yes,no,1,42.0,0,12,David Andrews,Male,Other,0,11020
high,0,28,2.45,0.04,78.87,yes,no,0,26.0,1,3,Micheal Le,Male,Other,0,11020
high,0,35,1.91,0.03,42.62,yes,no,2,120.0,0,5,Matthew Valdez,Male,Other,0,11020
high,0,41,3.2,0.13,335.44,yes,no,1,168.0,1,22,Jason Rhodes,Male,San Diego,2,11022
high,0,40,4.0,0.07,248.72,yes,no,2,96.0,1,0,Amy Horn,Female,San Diego,2,11022
low,7,29,3.0,0.0,0.0,yes,no,2,60.0,1,8,Cassie Yoder,Female,Other,0,11020
high,0,39,10.0,0.07,548.04,yes,yes,0,28.0,1,0,David Wang,Male,Sacramento,1,11021
low,3,45,3.4,0.0,0.0,no,no,0,28.0,1,10,Pamela Williams,Female,Other,0,11020
high,0,35,2.35,0.02,43.34,yes,no,2,115.0,1,1,Gordon Fuller,Male,Other,0,11020
low,1,25,1.88,0.0,0.0,no,no,2,7.0,0,2,Jennifer Rodriguez,Female,Other,0,11020
high,0,34,2.0,0.13,218.52,yes,no,0,12.0,1,0,Brad Nichols,Male,San Diego,2,11022
high,1,35,4.0,0.05,170.64,no,no,2,18.0,1,22,Christopher Huff,Male,San Francisco,3,11023
high,0,42,5.14,0.01,37.58,yes,no,2,13.0,1,17,Greg Oliver,Male,Other,0,11020
high,0,30,4.51,0.13,502.2,no,no,2,38.0,1,7,Brandon Myers,Male,Sacramento,1,11021
low,0,21,3.84,0.0,0.0,no,yes,1,12.0,0,1,Terry Stewart,Male,Other,0,11020
high,0,22,1.5,0.06,73.18,no,no,0,64.0,1,6,Russell Tyler,Male,Other,0,11020
low,0,34,2.5,0.0,0.0,yes,no,1,12.0,1,0,Christopher Johnson,Male,Other,0,11020
high,0,40,5.5,0.33,1532.77,yes,no,4,74.0,1,19,James Green,Male,Sacramento,1,11021
high,0,21,2.03,0.03,42.69,no,no,0,9.0,0,5,Adam Clayton,Male,Other,0,11020
high,1,29,3.2,0.16,417.84,no,no,0,14.0,1,6,Nathaniel Aguirre,Male,San Diego,2,11022
low,1,24,3.15,0.0,0.0,yes,no,1,40.0,1,5,Richard Horton,Male,Other,0,11020
high,0,21,2.47,0.27,552.72,yes,no,1,12.0,1,10,Frank Levine,Male,Sacramento,1,11021
high,0,23,3.0,0.09,222.54,no,no,0,12.0,1,5,Judith Salas,Female,San Diego,2,11022
high,0,42,3.54,0.18,541.3,yes,no,6,108.0,1,15,Patricia Norris,Female,Sacramento,1,11021
low,0,42,2.28,0.0,0.0,no,no,2,46.0,1,0,Joshua Conner,Male,Other,0,11020
high,0,36,5.7,0.12,568.77,yes,no,1,36.0,1,16,Shawn Jones,Not Declared,Sacramento,1,11021
high,0,26,3.5,0.12,344.47,no,no,0,2.0,1,14,Robert Mercer,Male,San Diego,2,11022
